T,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10
0.5994,0,0,0,0.60569113450253,0,0,0,0,0,0
0.6012,0,0,0,0.608825649699893,0,0,0,0,0,0
0.603,0,0,0,0.611964866885782,0,0,0,0,0,0
0.6048,0,0,0,0.615108757519884,0,0,0,0,0,0
0.6066,0,0,0,0.618257293095848,0,0,0,0,0,0
0.6084,0,0,0,0.621410445141282,0,0,0,0,0,0
0.6102,0,0,0,0.624568185217752,0,0,0,0,0,0
0.612,0,0,0,0.627730484920787,0,0,0,0,0,0
0.6138,0,0,0,0.630897315879874,0,0,0,0,0,0
0.6156,0,0,0,0.634068649758458,0,0,0,0,0,0
0.6174,0,0,0,0.637244458253945,0,0,0,0,0,0
0.6192,0,0,0,0.640424713097702,0,0,0,0,0,0
0.621,0,0,0,0.643609386055054,0,0,0,0,0,0
0.6228,0,0,0,0.646798448925286,0,0,0,0,0,0
0.6246,0,0,0,0.649991873541643,0,0,0,0,0,0
0.6264,0,0,0,0.653189631771329,0,0,0,0,0,0
0.6282,0,0,0,0.656391695515508,0,0,0,0,0,0
0.63,0,0,0,0.659598036709304,0,0,0,0,0,0
0.6318,0,0,0,0.662808627321799,0,0,0,0,0,0
0.6336,0,0,0,0.666023439356038,0,0,0,0,0,0
0.6354,0,0,0,0.669242444849022,0,0,0,0,0,0
0.6372,0,0,0,0.672465615871713,0,0,0,0,0,0
0.639,0,0,0,0.675692924529035,0,0,0,0,0,0
0.6408,0,0,0,0.678924342959868,0,0,0,0,0,0
0.6426,0,0,0,0.682159843337053,0,0,0,0,0,0
0.6444,0,0,0,0.68539939786739,0,0,0,0,0,0
0.6462,0,0,0,0.688642978791642,0,0,0,0,0,0
0.648,0,0,0,0.691890558384528,0,0,0,0,0,0
0.6498,0,0,0,0.695142108954726,0,0,0,0,0,0
0.6516,0,0,0,0.698397602844878,0,0,0,0,0,0
0.6534,0,0,0,0.701657012431581,0,0,0,0,0,0
0.6552,0,0,0,0.704920310125395,0,0,0,0,0,0
0.657,0,0,0,0.708187468370838,0,0,0,0,0,0
0.6588,0,0,0,0.711458459646388,0,0,0,0,0,0
0.6606,0,0,0,0.714733256464483,0,0,0,0,0,0
0.6624,0,0,0,0.718011831371519,0,0,0,0,0,0
0.6642,0,0,0,0.721294156947854,0,0,0,0,0,0
0.666,0,0,0,0.724580205807804,0,0,0,0,0,0
0.6678,0,0,0,0.727869950599646,0,0,0,0,0,0
0.6696,0,0,0,0.731163364005615,0,0,0,0,0,0
0.6714,0,0,0,0.734460418741907,0,0,0,0,0,0
0.6732,0,0,0,0.737761087558677,0,0,0,0,0,0
0.675,0,0,0,0.74106534324004,0,0,0,0,0,0
0.6768,0,0,0,0.74437315860407,0,0,0,0,0,0
0.6786,0,0,0,0.747684506502802,0,0,0,0,0,0
0.6804,0,0,0,0.750999359822229,0,0,0,0,0,0
0.6822,0,0,0,0.754317691482304,0,0,0,0,0,0
0.684,0,0,0,0.757639474436941,0,0,0,0,0,0
0.6858,0,0,0,0.760964681674012,0,0,0,0,0,0
0.6876,0,0,0,0.764293286215349,0,0,0,0,0,0
0.6894,0,0,0,0.767625261116745,0,0,0,0,0,0
0.6912,0,0,0,0.770960579467951,0,0,0,0,0,0
0.693,0,0,0,0.774299214392679,0,0,0,0,0,0
0.6948,0,0,0,0.777641139048599,0,0,0,0,0,0
0.6966,0,0,0,0.780986326627341,0,0,0,0,0,0
0.6984,0,0,0,0.784334750354497,0,0,0,0,0,0
0.7002,0,0,0,0.787686383489616,0,0,0,0,0,0
0.702,0,0,0,0.791041199326206,0,0,0,0,0,0
0.7038,0,0,0,0.794399171191739,0,0,0,0,0,0
0.7056,0,0,0,0.797760272447642,0,0,0,0,0,0
0.7074,0,0,0,0.801124476489303,0,0,0,0,0,0
0.7092,0,0,0,0.804491756746071,0,0,0,0,0,0
0.711,0,0,0,0.807862086681254,0,0,0,0,0,0
0.7128,0,0,0,0.811235439792119,0,0,0,0,0,0
0.7146,0,0,0,0.814611789609893,0,0,0,0,0,0
0.7164,0,0,0,0.817991109699762,0,0,0,0,0,0
0.7182,0,0,0,0.821373373660873,0,0,0,0,0,0
0.72,0,0,0,0.824758555126332,0,0,0,0,0,0
0.7218,0,0,0,0.828146627763205,0,0,0,0,0,0
0.7236,0,0,0,0.831537565272516,0,0,0,0,0,0
0.7254,0,0,0,0.834931341389251,0,0,0,0,0,0
0.7272,0,0,0,0.838327929882354,0,0,0,0,0,0
0.729,0,0,0,0.841727304554729,0,0,0,0,0,0
0.7308,0,0,0,0.845129439243241,0,0,0,0,0,0
0.7326,0,0,0,0.848534307818712,0,0,0,0,0,0
0.7344,0,0,0,0.851941884185925,0,0,0,0,0,0
0.7362,0,0,0,0.855352142283625,0,0,0,0,0,0
0.738,0,0,0,0.858765056084512,0,0,0,0,0,0
0.7398,0,0,0,0.86218059959525,0,0,0,0,0,0
0.7416,0,0,0,0.865598746856458,0,0,0,0,0,0
0.7434,0,0,0,0.86901947194272,0,0,0,0,0,0
0.7452,0,0,0,0.872442748962577,0,0,0,0,0,0
0.747,0,0,0,0.875868552058528,0,0,0,0,0,0
0.7488,0,0,0,0.879296855407034,0,0,0,0,0,0
0.7506,0,0,0,0.882727633218514,0,0,0,0,0,0
0.7524,0,0,0,0.88616085973735,0,0,0,0,0,0
0.7542,0,0,0,0.889596509241879,0,0,0,0,0,0
0.756,0,0,0,0.893034556044401,0,0,0,0,0,0
0.7578,0,0,0,0.896474974491174,0,0,0,0,0,0
0.7596,0,0,0,0.899917738962417,0,0,0,0,0,0
0.7614,0,0,0,0.903362823872306,0,0,0,0,0,0
0.7632,0,0,0,0.906810203668981,0,0,0,0,0,0
0.765,0,0,0,0.910259852834537,0,0,0,0,0,0
0.7668,0,0,0,0.913711745885031,0,0,0,0,0,0
0.7686,0,0,0,0.917165857370481,0,0,0,0,0,0
0.7704,0,0,0,0.920622161874861,0,0,0,0,0,0
0.7722,0,0,0,0.924080634016109,0,0,0,0,0,0
0.774,0,0,0,0.927541248446118,0,0,0,0,0,0
0.7758,0,0,0,0.931003979850743,0,0,0,0,0,0
0.7776,0,0,0,0.934468802949801,0,0,0,0,0,0
0.7794,0,0,0,0.937935692497065,0,0,0,0,0,0
0.7812,0,0,0,0.941404623280268,0,0,0,0,0,0
0.783,0,0,0,0.944875570121105,0,0,0,0,0,0
0.7848,0,0,0,0.948348507875229,0,0,0,0,0,0
0.7866,0,0,0,0.951823411432252,0,0,0,0,0,0
0.7884,0,0,0,0.955300255715747,0,0,0,0,0,0
0.7902,0,0,0,0.958779015683246,0,0,0,0,0,0
0.792,0,0,0,0.96225966632624,0,0,0,0,0,0
0.7938,0,0,0,0.965742182670183,0,0,0,0,0,0
